"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","64830","100","14430","22.3","22725","35.1","7400","11.4","1720","2.7","2285","3.5","2695","4.2","13580","20.9"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","70660","100","16455","23.3","22930","32.5","8030","11.4","1705","2.4","2375","3.4","3385","4.8","15780","22.3"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2011","78960","100","19865","25.2","23255","29.5","8045","10.2","1930","2.4","2635","3.3","4365","5.5","18865","23.9"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2016","85015","100","22395","26.3","23565","27.7","8220","9.7","1875","2.2","2605","3.1","4585","5.4","21770","25.6"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","2001","3685","100","1010","27.4","1550","42.1","295","8","160","4.3","115","3.1","25","0.7","520","14.1"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","2006","3930","100","1185","30.2","1455","37","305","7.8","140","3.6","125","3.2","35","0.9","680","17.3"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","2011","4215","100","1335","31.7","1400","33.2","365","8.7","145","3.4","135","3.2","50","1.2","795","18.9"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","2016","4500","100","1470","32.7","1340","29.8","405","9","125","2.8","105","2.3","70","1.6","990","22"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","2001","4995","100","1370","27.4","1860","37.2","465","9.3","185","3.7","140","2.8","70","1.4","895","17.9"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","2006","5315","100","1615","30.4","1680","31.6","535","10.1","170","3.2","155","2.9","65","1.2","1100","20.7"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","2011","5725","100","1870","32.7","1500","26.2","565","9.9","140","2.4","145","2.5","125","2.2","1365","23.8"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","2016","6090","100","1995","32.8","1475","24.2","580","9.5","125","2.1","155","2.5","140","2.3","1625","26.7"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","2001","4325","100","1345","31.1","1540","35.6","360","8.3","85","2","120","2.8","100","2.3","780","18"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","2006","4530","100","1440","31.8","1605","35.4","415","9.2","65","1.4","80","1.8","65","1.4","850","18.8"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","2011","5190","100","1670","32.2","1585","30.5","445","8.6","60","1.2","140","2.7","135","2.6","1165","22.4"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","2016","5545","100","1815","32.7","1510","27.2","485","8.7","80","1.4","150","2.7","135","2.4","1360","24.5"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","2001","11515","100","2995","26","4240","36.8","1135","9.9","360","3.1","360","3.1","295","2.6","2120","18.4"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","2006","12165","100","3615","29.7","3780","31.1","1280","10.5","470","3.9","305","2.5","280","2.3","2435","20"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","2011","12785","100","3945","30.9","3530","27.6","1250","9.8","390","3.1","440","3.4","365","2.9","2875","22.5"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","2016","13620","100","4275","31.4","3345","24.6","1255","9.2","335","2.5","405","3","410","3","3590","26.4"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","2001","22680","100","5255","23.2","7385","32.6","2490","11","465","2.1","615","2.7","885","3.9","5580","24.6"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","2006","24095","100","6165","25.6","7065","29.3","2390","9.9","365","1.5","710","2.9","1105","4.6","6300","26.1"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","2011","26595","100","7030","26.4","7455","28","2575","9.7","445","1.7","720","2.7","1320","5","7045","26.5"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","2016","28950","100","7850","27.1","7530","26","2620","9.1","500","1.7","735","2.5","1445","5","8265","28.5"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","2001","6355","100","1605","25.3","1900","29.9","735","11.6","145","2.3","185","2.9","230","3.6","1550","24.4"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","2006","6580","100","1840","28","1670","25.4","845","12.8","145","2.2","220","3.3","170","2.6","1685","25.6"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","2011","6940","100","2015","29","1690","24.4","760","11","110","1.6","175","2.5","215","3.1","1980","28.5"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","2016","7220","100","2150","29.8","1570","21.7","775","10.7","105","1.5","170","2.4","205","2.8","2230","30.9"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","2001","6015","100","1525","25.4","1815","30.2","655","10.9","130","2.2","220","3.7","190","3.2","1480","24.6"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","2006","5925","100","1490","25.1","1650","27.8","720","12.2","150","2.5","130","2.2","170","2.9","1615","27.3"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","2011","6085","100","1785","29.3","1370","22.5","630","10.4","145","2.4","150","2.5","170","2.8","1830","30.1"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","2016","5855","100","1745","29.8","1180","20.2","565","9.6","115","2","180","3.1","160","2.7","1910","32.6"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","2001","144435","100","34975","24.2","43265","30","13370","9.3","2805","1.9","4525","3.1","7965","5.5","37535","26"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","2006","155125","100","39390","25.4","42355","27.3","13655","8.8","3380","2.2","4470","2.9","8845","5.7","43030","27.7"
